No FSPs;Net;No PFs;Time [s]
7;Ob0;38928384;1483487.156
7;Ob0;181122480;6902235.469
7;Ob0;32332608.00;1232134.596
7;Ob0;54312960.00;2069764.277
7;Ob0;107575776.00;4099509.551
7;Ob0;51437568.00;1960188.521
7;Ob0;62099136.00;2366480.732
7;Ob0;83349000.00;3176272.896
7;Ob0;54675000.00;2083560.938
7;Ob0;141776649.00;5402840.196
7;Ob0;57288465.00;2183155.15
7;Ob0;59276448.00;2258913.426
7;Ob0;101269035.00;3859171.569
7;Ob0;49065984.00;1869811.937
7;Ob0;274633216.00;10465752.92
7;Ob0;80870400.00;3081818.134
7;Ob0;116435880.00;4437151.373
7;Ob0;61509375.00;2344006.055
7;Ob0;85865472.00;3272170.889
7;Ob0;83349000.00;3176272.896
6;Ob0;65537472;2497509.22
6;Ob0;39192552;1493554.1
6;Ob0;10287648;392042.826
6;Ob0;87654336;3340341.116
6;Ob0;39476096;1504359.426
6;Ob0;42163968;1606789.149
6;Ob0;7479296;285021.8379
6;Ob0;19869696;757196.5693
6;Ob0;5431296;206976.4277
6;Ob0;25316928;964780.2879
6;Ob0;14241600;542720.4655
6;Ob0;71260072;2715586.693
6;Ob0;13989888;533128.1968
6;Ob0;59072832;2251154.005
6;Ob0;56259840;2143956.195
6;Ob0;15110144;575819.0361
6;Ob0;26236672;999829.9938
6;Ob0;10539008;401621.6807
6;Ob0;18783072;715787.382
6;Ob0;18593344;708557.2064
5;Ob0;1492992;56895.104
5;Ob0;4105728;156461.536
5;Ob0;3577728;136340.4537
5;Ob0;2396992;91344.83583
5;Ob0;2765952;105405.2043
5;Ob0;4333056;165124.5765
5;Ob0;1837056;70006.73291
5;Ob0;3279584;124978.7492
5;Ob0;1822500;69452.03125
5;Ob0;4472160;170425.5671
5;Ob0;2794176;106480.7676
5;Ob0;6505642;247917.7237
5;Ob0;2825340;107668.3687
5;Ob0;4245696;161795.452
5;Ob0;4036032;153805.5531
5;Ob0;4799256;182890.5776
5;Ob0;3410550;129969.616
5;Ob0;6877598;262092.2641
5;Ob0;3612672;137672.1035
5;Ob0;6582784;250857.4596
4;Ob0;438724;16718.94264
4;Ob0;680108;25917.63077
4;Ob0;325424;12401.29373
4;Ob0;385728;14699.36522
4;Ob0;1005856;38331.27152
4;Ob0;487872;18591.88005
4;Ob0;1110032;42301.22203
4;Ob0;370944;14135.97491
4;Ob0;409552;15607.25284
4;Ob0;405000;15433.78472
4;Ob0;569492;21702.26402
4;Ob0;457864;17448.33187
4;Ob0;609840;23239.85006
4;Ob0;914872;34864.0432
4;Ob0;828414;31569.29219
4;Ob0;228480;8706.941071
4;Ob0;518661;19765.19066
4;Ob0;938952;35781.6865
4;Ob0;420555;16026.55638
4;Ob0;487872;18591.88005
3;Ob0;31556;1202.539533
3;Ob0;29040;1106.659527
3;Ob0;49192;1874.614168
3;Ob0;46438;1769.664432
3;Ob0;60016;2287.096355
3;Ob0;51612;1966.835795
3;Ob0;146608;5586.953854
3;Ob0;35200;1341.405487
3;Ob0;76692;2922.587205
3;Ob0;126588;4824.029483
3;Ob0;69888;2663.299622
3;Ob0;128248;4887.288946
3;Ob0;67068;2555.83475
3;Ob0;199888;7617.353977
3;Ob0;99220;3781.086717
3;Ob0;48400;1844.432545
3;Ob0;80178;3055.432078
3;Ob0;128478;4896.053812
3;Ob0;89964;3428.358047
3;Ob0;34968;1332.564405
2;Ob0;10000;381.0811043
2;Ob0;4495;171.2959564
2;Ob0;4232;161.2735233
2;Ob0;4393;167.4089291
2;Ob0;10385;395.7527268
2;Ob0;7192;274.0735302
2;Ob0;6800;259.1351509
2;Ob0;5084;193.7416334
2;Ob0;6800;259.1351509
2;Ob0;2954;112.5713582
2;Ob0;6372;242.8248796
2;Ob0;6372;242.8248796
2;Ob0;2834;107.998385
2;Ob0;8580;326.9675875
2;Ob0;6426;244.8827176
2;Ob0;7560;288.0973148
2;Ob0;11371;433.3273237
2;Ob0;7020;267.5189352
2;Ob0;6372;242.8248796
2;Ob0;2954;112.5713582
10;Ob0;1.30394E+11;4969077902
10;Ob0;2.38134E+11;9074820599
10;Ob0;3.09164E+11;11781669988
10;Ob0;44840334375;1708780414
10;Ob0;16142520375;615160949
10;Ob0;74733890625;2847967357
10;Ob0;19591041024;746577554.7
10;Ob0;1.39391E+11;5311940442
10;Ob0;1.85559E+11;7071288778
10;Ob0;98537472000;3755076864
10;Ob0;1.68679E+11;6428030976
10;Ob0;69751631250;2658102866
10;Ob0;74733890625;2847967357
10;Ob0;60217344000;2294769195
10;Ob0;44840334375;1708780414
10;Ob0;1.68679E+11;6428030976
10;Ob0;1.57697E+11;6009545360
10;Ob0;41850978750;1594861720
10;Ob0;1.26024E+11;4802524619
10;Ob0;73381969920;2796448213
11;Ob0;9.43296E+11;35947243899
11;Ob0;2.15234E+11;8202145987
11;Ob0;1.45283E+11;5536448541
11;Ob0;7.26514E+11;27686076047
11;Ob0;1.36148E+12;51883483237
11;Ob0;3.40596E+11;12979483667
11;Ob0;5.58013E+11;21264822930
11;Ob0;7.56606E+11;28832836593
11;Ob0;3.34808E+11;12758893758
11;Ob0;8.07543E+11;30773937080
11;Ob0;3.21489E+11;12251338313
11;Ob0;7.4519E+11;28397768786
11;Ob0;4.34903E+11;16573333074
11;Ob0;1.33505E+12;50876266947
11;Ob0;1.45283E+11;5536448541
11;Ob0;3.76659E+11;14353755477
11;Ob0;7.03678E+11;26815833510
11;Ob0;3.34808E+11;12758893758
11;Ob0;4.11311E+11;15674300981
11;Ob0;6.02594E+11;22963701872
12;Ob0;1.03312E+12;39370300738
12;Ob0;3.16393E+12;1.20572E+11
12;Ob0;4.0015E+12;1.5249E+11
12;Ob0;1.25383E+12;47780963503
12;Ob0;1.16226E+12;44291588330
12;Ob0;1.36682E+12;52086907877
12;Ob0;4.0015E+12;1.5249E+11
12;Ob0;9.03404E+12;3.4427E+11
12;Ob0;2.03396E+12;77510279578
12;Ob0;1.53055E+12;58326371464
12;Ob0;1.03312E+12;39370300738
12;Ob0;3.53781E+12;1.34819E+11
12;Ob0;4.79322E+12;1.82661E+11
12;Ob0;3.92463E+12;1.4956E+11
12;Ob0;3.38993E+12;1.29184E+11
12;Ob0;5.19158E+12;1.97841E+11
12;Ob0;1.72187E+12;65617167897
12;Ob0;2.28657E+12;87137006684
12;Ob0;3.77683E+12;1.43928E+11
12;Ob0;2.17924E+12;83046728120
13;Ob0;5.31441E+12;2.02522E+11
13;Ob0;5.31441E+12;2.02522E+11
13;Ob0;1.62601E+13;6.19641E+11
13;Ob0;2.05792E+13;7.84233E+11
13;Ob0;1.04604E+13;3.98624E+11
13;Ob0;1.17679E+13;4.48452E+11
13;Ob0;1.28566E+13;4.89942E+11
13;Ob0;3.36216E+13;1.28125E+12
13;Ob0;8.92821E+12;3.40237E+11
13;Ob0;1.83056E+13;6.97593E+11
13;Ob0;1.17679E+13;4.48452E+11
13;Ob0;1.83056E+13;6.97593E+11
13;Ob0;1.01988E+13;3.88659E+11
13;Ob0;2.5067E+13;9.55255E+11
13;Ob0;6.27621E+12;2.39175E+11
13;Ob0;8.67822E+12;3.30711E+11
13;Ob0;1.46731E+13;5.59165E+11
13;Ob0;5.57886E+12;2.126E+11
13;Ob0;1.19995E+13;4.57279E+11
13;Ob0;1.09834E+13;4.18556E+11
14;Ob0;1.05332E+14;4.014E+12
14;Ob0;4.46308E+13;1.7008E+12
14;Ob0;6.35466E+13;2.42164E+12
14;Ob0;2.81174E+13;1.0715E+12
14;Ob0;5.078E+13;1.93513E+12
14;Ob0;1.98442E+14;7.56225E+12
14;Ob0;3.52639E+13;1.34384E+12
14;Ob0;2.41656E+14;9.20907E+12
14;Ob0;1.04795E+14;3.99352E+12
14;Ob0;2.28768E+13;8.71791E+11
14;Ob0;4.68624E+13;1.78584E+12
14;Ob0;2.28768E+13;8.71791E+11
14;Ob0;8.7867E+13;3.34844E+12
14;Ob0;3.13457E+13;1.19452E+12
14;Ob0;1.67989E+14;6.40174E+12
14;Ob0;1.05911E+14;4.03607E+12
14;Ob0;6.35466E+13;2.42164E+12
14;Ob0;5.64859E+13;2.15257E+12
14;Ob0;6.61198E+13;2.5197E+12
14;Ob0;6.35466E+13;2.42164E+12
15;Ob0;5.74538E+14;2.18945E+13
15;Ob0;2.05891E+14;7.84612E+12
15;Ob0;4.38839E+14;1.67233E+13
15;Ob0;2.05891E+14;7.84612E+12
15;Ob0;2.82111E+14;1.07507E+13
15;Ob0;8.42655E+14;3.2112E+13
15;Ob0;2.05891E+14;7.84612E+12
15;Ob0;1.83014E+14;6.97433E+12
15;Ob0;2.8766E+14;1.09622E+13
15;Ob0;2.05891E+14;7.84612E+12
15;Ob0;5.83176E+14;2.22237E+13
15;Ob0;3.74899E+14;1.42867E+13
15;Ob0;2.05891E+14;7.84612E+12
15;Ob0;8.27022E+14;3.15162E+13
15;Ob0;8.09141E+14;3.08348E+13
15;Ob0;1.6259E+14;6.19601E+12
15;Ob0;2.05891E+14;7.84612E+12
15;Ob0;3.09787E+14;1.18054E+13
15;Ob0;4.32933E+14;1.64982E+13
15;Ob0;3.43152E+14;1.30769E+13
7;Ob1;85184000;3348357.803
7;Ob1;117325824;4611767.918
7;Ob1;156712192;6159941.902
7;Ob1;225133568;8849405.278
7;Ob1;27457785;1079292.927
7;Ob1;65610000;2578955.619
7;Ob1;145711104;5727518.221
7;Ob1;89686016;3525320.148
7;Ob1;54591488;2145847.047
7;Ob1;151545856;5956866.894
7;Ob1;165649792;6511255.326
7;Ob1;73811250;2901325.072
7;Ob1;268316160;10546798.79
7;Ob1;58490880;2299121.836
7;Ob1;162269184;6378372.564
7;Ob1;50372608;1980014.029
7;Ob1;106489152;4185806.995
7;Ob1;96598656;3797037.749
7;Ob1;107575776;4228519.311
7;Ob1;44286750;1740795.043
6;Ob1;29422224;1156509.83
6;Ob1;15441920;606981.0449
6;Ob1;16696064;656278.1295
6;Ob1;16402500;644738.9048
6;Ob1;15145704;595337.5772
6;Ob1;14859936;584104.7927
6;Ob1;12150000;477584.374
6;Ob1;24460800;961489.3707
6;Ob1;10982400;431689.1052
6;Ob1;29048448;1141817.683
6;Ob1;10287648;404380.2411
6;Ob1;12075008;474636.6367
6;Ob1;20553750;807913.5659
6;Ob1;10287648;404380.2411
6;Ob1;10881000;427703.3393
6;Ob1;16240224;638360.2644
6;Ob1;36900864;1450475.394
6;Ob1;10287648;404380.2411
6;Ob1;12074832;474629.7186
6;Ob1;24685440;970319.3752
5;Ob1;1189376;46751.22571
5;Ob1;2632500;103476.6144
5;Ob1;6604416;259602.1301
5;Ob1;8061300;316868.388
5;Ob1;7642992;300425.8065
5;Ob1;5521906;217051.5243
5;Ob1;3123456;122774.7966
5;Ob1;2906496;114246.6726
5;Ob1;2333184;91711.29382
5;Ob1;2829184;111207.7423
5;Ob1;6121136;240605.6711
5;Ob1;2820096;110850.5171
5;Ob1;2395800;94172.56322
5;Ob1;4472160;175788.7847
5;Ob1;4897620;192512.4923
5;Ob1;3612672;142004.584
5;Ob1;3984288;156611.8263
5;Ob1;3984288;156611.8263
